,증권사,제목,링크,코드,위험군,펀드규모,3개월 수익률
0,NH투자증권,[펀드] [주식형] 한국밸류지속성장ESG증권자투자신탁(주식)C-E?,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NAHV73,C-E(NAHV73),초고위험군,"25,006,399,178",1.55
1,NH투자증권,[펀드] [주식형] 한국밸류지속성장ESG증권자투자신탁(주식)C-Re?,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=PAHV77,C-Re(PAHV77),초고위험군,"25,006,399,178",1.58
2,NH투자증권,[펀드] [주식형] 한국밸류지속성장ESG증권자투자신탁(주식)C-Pe,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NAHV75,C-E(NAHV73),초고위험군,"25,006,399,178",1.56
3,NH투자증권,[펀드] [주식형] 한국밸류지속성장ESG증권자투자신탁(주식)A-E,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NAHV69,A-E(NAHV69),초고위험군,"25,006,399,178",1.59
4,NH투자증권,[펀드] [채권형] 한국투자크레딧포커스ESG증권자투자신탁1호(채권)C-Pe ,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NDH121,C-Pe(NDH121),저위험,"461,165,616,734",1.01
5,NH투자증권,[펀드] [채권형] 한국투자크레딧포커스ESG증권자투자신탁1호(채권)A-e,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NDH120,A-e(NDH120),저위험," 461,165,616,734 ",1.01
6,NH투자증권,[펀드] [채권형] 한국투자크레딧포커스ESG증권자투자신탁1호(채권)C-e,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=NDH123,C-e(NDH123),저위험," 461,165,616,734 ",1.00
7,NH투자증권,[펀드] [채권형] 한국투자크레딧포커스ESG증권자투자신탁1호(채권)C-Re,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=PDHA50,C-Re(PDHA50),저위험," 461,165,616,734 ",1.01
8,NH투자증권,[펀드] [채권형] 한국투자크레딧포커스ESG증권자투자신탁1호(채권)C-R,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=PDHA49,C-R(PDHA49),저위험," 461,165,616,734 ",0.98
9,NH투자증권,[펀드] [채권형] 한국투자e단기채ESG증권투자신탁(채권)C-Re,https://www.nhqv.com/finance/fund/FundProdDetail.action?pd_cd=PDHA23,C-Re(PDHA23),저위험," 150,118,475,243 ",0.94
