point,title,market
10 %, 수실류-은행, 로컬푸드 직매장
10 %, 수실류-호두, 로컬푸드 직매장
10 %, 수실류-대추, 로컬푸드 직매장
10 %, 수실류-밤, 로컬푸드 직매장
10 %, 과실류-기타, 로컬푸드 직매장
10 %, 과실류-구아바, 로컬푸드 직매장
10 %, 과실류-체리자두, 로컬푸드 직매장
10 %, 과실류-플루오트, 로컬푸드 직매장
10 %, 과실류-플럼코트, 로컬푸드 직매장
10 %, 과실류-하스카프, 로컬푸드 직매장
10 %, 과실류-블랙커런트, 로컬푸드 직매장
10 %, 과실류-블랙베리, 로컬푸드 직매장
10 %, 과실류-아로니아, 로컬푸드 직매장
10 %, 과실류-블루베리, 로컬푸드 직매장
10 %, 과실류-체리, 로컬푸드 직매장
10 %, 과실류-포포, 로컬푸드 직매장
10 %, 과실류-비파, 로컬푸드 직매장
10 %, 과실류-보리수, 로컬푸드 직매장
10 %, 과일과채류-메론, 로컬푸드 직매장
10 %, 과일과채류-방울토마토, 로컬푸드 직매장
10 %, 과채류-오이, 로컬푸드 직매장
10 %, 엽경채류-고추잎, 로컬푸드 직매장
10 %, 엽경채류-머위대, 로컬푸드 직매장
10 %, 엽경채류-토란대, 로컬푸드 직매장
10 %, 엽경채류-고들빼기, 로컬푸드 직매장
10 %, 엽경채류-비름, 로컬푸드 직매장
10 %, 엽경채류-달래, 로컬푸드 직매장
10 %, 엽경채류-고구마순, 로컬푸드 직매장
10 %, 엽경채류-냉이, 로컬푸드 직매장
10 %, 엽경채류-숙주나물, 로컬푸드 직매장
10 %, 엽경채류-콩나물, 로컬푸드 직매장
10 %, 엽경채류-아욱, 로컬푸드 직매장
240 P, 새콤한 딸기 요거트 큐브 16g, 이마트
240 P, 유기농 플레인 요거트 큐브16g, 이마트
240 P, 유기농 망고 바나나 요거트 큐브16g, 이마트
240 P, 유기농 시금치통통 40g, 이마트
240 P, 유기농 아로니아통통 40g, 이마트
240 P, 유기농 바나나통통 40g, 이마트
240 P, 유기농 블루베리통통 40g, 이마트
120 P, 유기농 퍼프 포도야 25g, 이마트
120 P, 유기농 퍼프 망고야 25g, 이마트
120 P, 유기농 퍼프 딸기야 25g, 이마트
120 P, 유기농 퍼프 사과야 25g, 이마트
120 P, 유기농 쌀로만든 딸기떡튀밥 30g, 이마트
120 P, 유기농 쌀로만든 고구마떡튀밥 30g, 이마트
170 P, 유기농 현미로 만든 단호박볼 65g, 이마트
170 P, 유기농 현미로 만든 딸기볼 65g, 이마트
170 P, 유기농 현미로 만든 바나나볼 65g, 이마트
170 P, 유기농 현미로 만든 블루베리볼 65g, 이마트
120 P, 유기농 쌀로만든 사과떡튀밥 30g, 이마트
120 P, 유기농 쌀로만든 단호박떡튀밥 30g, 이마트
120 P, 유기농 쌀로 만든 양파떡튀밥 30g, 이마트
5690 P, (포장저감)파프리카(10kg/무농약), 두레생협
120 P, 무(1kg/무농약/온라인), 두레생협
400 P, 알타리(2kg/무농약), 두레생협
510 P, 통배추(김장/3통/무농약), 두레생협
1760 P, 절임배추(김장/10kg/무농약), 두레생협
350 P, 무(김장/5kg/무농약), 두레생협
250 P, 동치미무(김장/5개/무농약), 두레생협
260 P, 알타리(김장/2kg/무농약), 두레생협
350 P, 쪽파(김장/1kg/무농약), 두레생협
200 P, 갓(김장/1kg/무농약), 두레생협
240 P, 햇생강(400g/무농약), 두레생협
30 P, 버섯(친환경/맛타리버섯)200g/트레이/특/특품, 하나로마트
110 P, 알로에(친환경/사포나리아)2EA/랩/특/특품, 하나로마트
140 P, 미나리(친환경/미나리)200g/봉지/특/특품, 하나로마트
910 P, 곶감(친환경/건시)/370g/봉지/특, 하나로마트
170 P, 우엉(친환경/우엉)500g/봉지/특/특품, 하나로마트
900 P, 로메인(친환경/포기로메인)2kg/종이BOX/특/특품, 하나로마트
470 P, 트레비소(친환경/트레비소)1kg/종이BOX/특/특품, 하나로마트
2470 P, 사과(친환경)/5kg/14내/종이박스/특, 하나로마트
650 P, 천도복숭아(친환경)/2kg/박스/특, 하나로마트
480 P, 감귤(친환경)/800g/팩/특, 하나로마트
350 P, 천도복숭아(친환경)/600g/팩/특, 하나로마트
13260 P, 사과(명품선물세트/저탄소)/6kg/16과/종이BOX/특/국산, 하나로마트
260 P, 방울토마토(친환경)/750g/팩/특, 하나로마트
270 P, 대추방울토마토(친환경)/500g/팩/특, 하나로마트
420 P, 토마토(친환경)/2kg/박스/특, 하나로마트
510 P, 블루베리(친환경)/300g/팩/특, 하나로마트
160 P, 블루베리(친환경)/100g/팩/특, 하나로마트
780 P, 메론(무농약)/2.4kg/2입/팩/특, 하나로마트
1070 P, 오렌지(저탄소/한라봉)/1kg/10내/봉/특, 하나로마트
550 P, 사과(친환경)/2.5kg/10내/박스/특, 하나로마트
100 P, 고추(친환경/오이맛고추)200g/봉지/특, 하나로마트
370 P, 건고추(아침마루/건고추)150g/봉/특, 울진농협 금강송지점(판매)
120 P, 감자(친환경/감자)1kg/봉지/특/특품, 하나로마트
410 P, 자두(친환경)/1.2kg/팩/특, 하나로마트
370 P, 토마토(친환경)/1kg/봉지/특/국산, 하나로마트
420 P, 자두(친환경)/600g/11내/팩/특, 하나로마트
160 P, 당근(친환경/당근)1kg/봉지/특/특품, 하나로마트
730 P, 토마토(친환경)/2kg/박스/특/국산, 하나로마트
90 P, 상추(친환경/청상추)150g/봉지/특/특품, 하나로마트
4500 P, 크리미오 식기세척기용 세제 20kg, 크리미오
940 P, 맑을청 주방세제 2kg, 크리미오
4500 P, 맑은청플러스 식기세척기용 세제 20kg, 크리미오
4800 P, 맑을청 주방세제 15kg, 크리미오
8250 P, 맑을 (청) 식기세척기용 세제 20kg, 크리미오
1330 P, 맑을청 주방세제 3kg, 크리미오
3450 P, 맑을청 주방세제 10kg, 크리미오
6750 P, 맑을청 주방세제 20kg, 크리미오
490 P, 고스락 유기농 간장 300ml, 이마트
440 P, 프레스드 자몽 [900ml], 흥국에프엔비
590 P, ABC 클렌즈 주스 [900ml], 흥국에프엔비
490 P, 블렌디드 자두 [900ml], 흥국에프엔비
440 P, 프레스드 오렌지 [900ml], 흥국에프엔비
490 P, 블렌디드 망고 [900ml], 흥국에프엔비
490 P, 블렌디드 딸기 [870ml], 흥국에프엔비
130 P, 유기농 발아현미스틱 35g, 이마트
130 P, 유기농 고구마 쌀과자 35g, 이마트
130 P, 유기농 단호박 쌀과자 35g, 이마트
160 P, 라띠아 유기농크리스피롤 블루베리, 이마트
160 P, 라띠아 유기농크리스피롤 딸기, 이마트
660 P, 그린날애1000mL, 빛과둥지
400 P, Prezone 에탄올 워셔액, 비손케미칼
5250 P, 식기세척기용 중성세제(NS-1100), 뉴세제코리아
4350 P, Ban-B 종이타올 고급형 (100매/ 2겹), (사)한국지체장애인협회(춘천시장애인근로사업장)
3450 P, Ban-B 미색중질지 70g B4, (사)한국지체장애인협회(춘천시장애인근로사업장)
2380 P, Ban-B 미색중질지 70g A4, (사)한국지체장애인협회(춘천시장애인근로사업장)
3220 P, 호반이 친환경 복사용지 75g A4, (사)한국지체장애인협회(춘천시장애인근로사업장)
5250 P, Ban-B 종이타올 (100매/ 2겹), (사)한국지체장애인협회(춘천시장애인근로사업장)
4950 P, Ban-B 점보롤500m, (사)한국지체장애인협회(춘천시장애인근로사업장)
4920 P, Ban-B 점보롤 300미터, (사)한국지체장애인협회(춘천시장애인근로사업장)
500 P, 더덕(300g/무농약), 두레생협
60 P, 행복 채소(쌈배추/300g이상), 두레생협
800 P, 새송이2kg(무농약), 올가홀푸드
370 P, 야콘(1.5kg/유기), 두레생협
290 P, 백미(1kg/유기), 두레생협
970 P, 고시히까리(4kg/무농약/강화), 두레생협
480 P, 건무화과(100g/무농약), 두레생협
160 P, 밀싹(120g/무농약), 두레생협
1270 P, 유기농 포도(2kg/캠밸), 두레생협
620 P, 한끼 귀리(40g*25포/1kg/유기농), 두레생협
720 P, 청매실(유기/못난이/5kg), 두레생협
190 P, 감자(1kg/대과/무농약), 두레생협
1020 P, 가시복분자(1kg/유기), 두레생협
2100 P, 신고배(1.8kg/의성/두레인증), 두레생협
600 P, 맛타리2kg(무농약), 올가홀푸드
660 P, 진공백미(2kg/유기/강화), 두레생협
1900 P, (포장저감)가지(40개/무농약), 두레생협
140 P, 깐감자(200g/무농약), 두레생협
50 P, 행복 채소(치커리/150g), 두레생협
150 P, 장아찌용적양파(1.5kg/무농약), 두레생협
2090 P, {생명나눔}생표고버섯(2kg/무농약), 두레생협
200 P, 늙은호박(2kg이상/무농약), 두레생협
3180 P, {당도보장}신고배(3kg/의성/두레인증), 두레생협
1970 P, 백미(10kg/유기), 두레생협
920 P, 메론의왕 칸탈로프(무농약/2kg이상), 두레생협
20 P, 행복 채소(팽이버섯/150g), 두레생협
80 P, 행복 채소(양상추/300g), 두레생협
870 P, 풍기인삼(300g내외/10뿌리), 두레생협
6990 P, (포장저감)미니파프리카(8kg/무농약), 두레생협
90 P, 행복 채소(콜라비/300g), 두레생협
1300 P, 쑥1kg(무농약이상), 올가홀푸드
140 P, 장아찌용햇양파(1kg/무농약), 두레생협
370 P, 유기농 그린키위(4~6입)2팩, 이마트
260 P, 친환경 칼라방울토마토(600g/팩), 이마트
290 P, 친환경 대추방울토마토(600g/팩), 이마트
290 P, 친환경 대추방울토마토(600g/팩), 이마트
270 P, 친환경 방울토마토(600g/팩), 이마트
440 P, 친환경 대저토마토(900g/팩), 이마트
1190 P, 저탄소인증 성주참외(1.2kg/봉), 이마트
1640 P, 친환경 고흥 한라봉세트(7~10입), 이마트
490 P, 친환경 당도선별 한라봉(1kg/팩), 이마트
440 P, 무농약딸기(750g/팩), 이마트
30 P, 친환경 국산골드키위(소과/1kg), 이마트
60 P, 친환경 적로메인, 이마트
60 P, 친환경 생채, 이마트
60 P, 친환경 로메인, 이마트
60 P, 친환경 쌈케일, 이마트
60 P, 친환경 적근대, 이마트
640 P, 유기농 배(2~3입/봉), 이마트
390 P, 무농약 황금향(1.2kg/봉), 이마트
1620 P, 저탄소인증 배(3입/봉), 이마트
390 P, 친환경토마토(1kg/팩), 이마트
740 P, 친환경 대추방울토마토 기획(2kg/박스), 이마트
100 P, 유기농 브로콜리, 이마트
150 P, 유기농 적채(통), 이마트
40 P, 하루채소 친환경 콩나물, 이마트
170 P, (농가돕기)친환경양파1kg, 이마트
90 P, 유기농 새송이버섯(2입/봉), 이마트
1490 P, 저탄소인증 사과3입 공팩, 이마트
1490 P, 저탄소인증 배3입 공팩, 이마트
70 P, 무농약 콩나물(300g/봉), 이마트
