,title,point,market,title_mod
0, 수실류-은행,10,로컬푸드 직매장, 수실류은행
1, 수실류-호두,10,로컬푸드 직매장, 수실류호두
2, 수실류-대추,10,로컬푸드 직매장, 수실류대추
3, 수실류-밤,10,로컬푸드 직매장, 수실류밤
4, 과실류-기타,10,로컬푸드 직매장, 과실류기타
5, 과실류-구아바,10,로컬푸드 직매장, 과실류구아바
6, 과실류-체리자두,10,로컬푸드 직매장, 과실류체리자두
7, 과실류-플루오트,10,로컬푸드 직매장, 과실류플루오트
8, 과실류-플럼코트,10,로컬푸드 직매장, 과실류플럼코트
9, 과실류-하스카프,10,로컬푸드 직매장, 과실류하스카프
10, 과실류-블랙커런트,10,로컬푸드 직매장, 과실류블랙커런트
11, 과실류-블랙베리,10,로컬푸드 직매장, 과실류블랙베리
12, 과실류-아로니아,10,로컬푸드 직매장, 과실류아로니아
13, 과실류-블루베리,10,로컬푸드 직매장, 과실류블루베리
14, 과실류-체리,10,로컬푸드 직매장, 과실류체리
15, 과실류-포포,10,로컬푸드 직매장, 과실류포포
16, 과실류-비파,10,로컬푸드 직매장, 과실류비파
17, 과실류-보리수,10,로컬푸드 직매장, 과실류보리수
18, 과일과채류-메론,10,로컬푸드 직매장, 과일과채류메론
19, 과일과채류-방울토마토,10,로컬푸드 직매장, 과일과채류방울토마토
20, 과채류-오이,10,로컬푸드 직매장, 과채류오이
21, 엽경채류-고추잎,10,로컬푸드 직매장, 엽경채류고추잎
22, 엽경채류-머위대,10,로컬푸드 직매장, 엽경채류머위대
23, 엽경채류-토란대,10,로컬푸드 직매장, 엽경채류토란대
24, 엽경채류-고들빼기,10,로컬푸드 직매장, 엽경채류고들빼기
25, 엽경채류-비름,10,로컬푸드 직매장, 엽경채류비름
26, 엽경채류-달래,10,로컬푸드 직매장, 엽경채류달래
27, 엽경채류-고구마순,10,로컬푸드 직매장, 엽경채류고구마순
28, 엽경채류-냉이,10,로컬푸드 직매장, 엽경채류냉이
29, 엽경채류-숙주나물,10,로컬푸드 직매장, 엽경채류숙주나물
30, 엽경채류-콩나물,10,로컬푸드 직매장, 엽경채류콩나물
31, 엽경채류-아욱,10,로컬푸드 직매장, 엽경채류아욱
32, 새콤한 딸기 요거트 큐브 16g,240,이마트, 새콤한 딸기 요거트 큐브 
33, 유기농 플레인 요거트 큐브16g,240,이마트, 유기농 플레인 요거트 큐브
34, 유기농 망고 바나나 요거트 큐브16g,240,이마트, 유기농 망고 바나나 요거트 큐브
35, 유기농 시금치통통 40g,240,이마트, 유기농 시금치통통 
36, 유기농 아로니아통통 40g,240,이마트, 유기농 아로니아통통 
37, 유기농 바나나통통 40g,240,이마트, 유기농 바나나통통 
38, 유기농 블루베리통통 40g,240,이마트, 유기농 블루베리통통 
39, 유기농 퍼프 포도야 25g,120,이마트, 유기농 퍼프 포도야 
40, 유기농 퍼프 망고야 25g,120,이마트, 유기농 퍼프 망고야 
41, 유기농 퍼프 딸기야 25g,120,이마트, 유기농 퍼프 딸기야 
42, 유기농 퍼프 사과야 25g,120,이마트, 유기농 퍼프 사과야 
43, 유기농 쌀로만든 딸기떡튀밥 30g,120,이마트, 유기농 쌀로만든 딸기떡튀밥 
44, 유기농 쌀로만든 고구마떡튀밥 30g,120,이마트, 유기농 쌀로만든 고구마떡튀밥 
45, 유기농 현미로 만든 단호박볼 65g,170,이마트, 유기농 현미로 만든 단호박볼 
46, 유기농 현미로 만든 딸기볼 65g,170,이마트, 유기농 현미로 만든 딸기볼 
47, 유기농 현미로 만든 바나나볼 65g,170,이마트, 유기농 현미로 만든 바나나볼 
48, 유기농 현미로 만든 블루베리볼 65g,170,이마트, 유기농 현미로 만든 블루베리볼 
49, 유기농 쌀로만든 사과떡튀밥 30g,120,이마트, 유기농 쌀로만든 사과떡튀밥 
50, 유기농 쌀로만든 단호박떡튀밥 30g,120,이마트, 유기농 쌀로만든 단호박떡튀밥 
51, 유기농 쌀로 만든 양파떡튀밥 30g,120,이마트, 유기농 쌀로 만든 양파떡튀밥 
52, (포장저감)파프리카(10kg/무농약),5690,두레생협, 파프리카
53, 무(1kg/무농약/온라인),120,두레생협, 무
54, 알타리(2kg/무농약),400,두레생협, 알타리
55, 통배추(김장/3통/무농약),510,두레생협, 통배추
56, 절임배추(김장/10kg/무농약),1760,두레생협, 절임배추
57, 무(김장/5kg/무농약),350,두레생협, 무
58, 동치미무(김장/5개/무농약),250,두레생협, 동치미무
